lfdn,external_lfdn,tester,dispcode,lastpage,quality,duration,VPN_Kennung,Pre_SSSQ_1,Pre_SSSQ_2,Pre_SSSQ_3,Pre_SSSQ_4,Pre_SSSQ_5,Pre_SSSQ_6,Pre_SSSQ_7,Pre_SSSQ_8,Pre_SSSQ_9,Pre_SSSQ_10,Pre_SSSQ_11,Pre_SSSQ_12,Pre_SSSQ_13,Pre_SSSQ_14,Pre_SSSQ_15,Pre_SSSQ_16,Pre_SSSQ_17,Pre_SSSQ_18,Pre_SSSQ_19,Pre_SSSQ_20,Pre_SSSQ_21,Pre_SSSQ_22,Pre_SSSQ_23,Pre_SSSQ_24,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,browser,referer,device_type,quota,quota_assignment,quota_rejected_id,page_history,hflip,vflip,output_mode,javascript,flash,session_id,language,cleaned,ats,datetime,date_of_last_access,date_of_first_mail,rts7541235,rts7541236,rts7560613
2,0,0,31,7541216,NaN,149,Xxxx,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,0,1,0,NaN,NaN,f277ae487848288dbca672cb3a77a94f,1,0,1731330234,11.11.24 13:03,11.11.24 13:06,0000-00-00 00:00:00,149,127,0
6,0,0,31,7541216,NaN,285,SJ08F,3,3,1,1,2,3,1,1,1,1,3,4,3,4,3,4,1,4,3,3,1,1,1,3,2,4,3,2,1,1,3,1,1,1,1,3,2,1,4,2,3,2,2,3,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,0,1,0,NaN,NaN,c211bb455766bfcb5264d1f158fcca6f,1,0,1731942631,11.18.24 15:10,11.18.24 15:15,0000-00-00 00:00:00,210,115,285
8,0,0,31,7541216,NaN,140,PL19E,2,5,1,1,5,1,1,1,1,1,5,5,5,3,3,2,3,3,3,3,3,5,1,1,4,1,4,1,3,1,1,1,4,3,1,5,1,3,4,5,5,3,5,1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,0,0,0,NaN,NaN,49038999c0bedae41c1586e848c1c66f,1,0,1732812165,11.28.24 16:42,11.28.24 16:45,0000-00-00 00:00:00,86,9,140
9,0,0,31,7541216,NaN,4029,CL17M,3,5,1,1,4,4,3,1,4,3,4,4,4,2,2,1,3,4,4,4,2,3,4,3,3,4,3,3,2,1,2,2,3,2,4,4,3,1,4,3,4,5,4,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,1,1,0,NaN,NaN,489d8fee338ee068eea9eed2079cf6f2,1,0,1733223699,12.3.24 11:01,12.3.24 12:08,0000-00-00 00:00:00,3980,2582,4029
11,0,0,31,7541216,NaN,5084,GM25S,2,4,2,1,3,1,2,2,2,3,2,2,2,3,3,1,4,2,2,2,4,4,1,1,3,2,3,2,4,2,1,1,3,4,2,3,1,2,2,2,3,2,3,1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,1,0,0,NaN,NaN,1853b550426b61044780580cb5a0a6fa,1,0,1733844590,12.10.24 15:29,12.10.24 16:54,0000-00-00 00:00:00,4976,4856,5084
12,0,0,31,7541216,NaN,3439,RK06N,3,3,1,1,4,4,3,1,4,1,3,2,2,1,1,1,4,4,2,2,3,3,4,1,3,2,1,2,1,2,3,1,1,4,3,3,3,2,4,2,3,5,3,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,1,0,0,NaN,NaN,195d81eb3cd82d44ded42a2c9a100825,1,0,1734001929,12.12.24 11:12,12.12.24 12:09,0000-00-00 00:00:00,3379,3320,3438
13,0,0,32,7541216,NaN,-1,EK13M,1,4,1,1,4,1,1,1,1,1,4,4,4,1,4,1,4,2,2,1,4,4,1,1,4,1,2,1,3,1,1,1,4,3,1,4,1,4,2,4,4,1,4,1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,0,1,0,NaN,NaN,5faafe406640079a161ec6e79a2c6bf5,1,0,1734007310,12.12.24 12:41,12.12.24 13:38,0000-00-00 00:00:00,3301,459,3371
14,0,0,31,7541216,NaN,4557,CH02N,2,3,1,2,4,3,2,1,3,2,4,4,3,3,3,1,3,4,4,4,3,3,3,2,3,4,4,2,3,1,2,1,2,1,3,3,2,2,4,4,4,4,4,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,1,0,0,NaN,NaN,3da6e2e7d2ca6a58e9c4307ac18ab8ff,1,0,1734352024,12.16.24 12:27,12.16.24 13:43,0000-00-00 00:00:00,4443,4336,4557
,,,,,,,VP8,1,5,1,1,4,3,1,1,1,1,4,5,4,2,3,2,4,2,3,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,VP10,1,4,1,1,4,1,1,1,1,1,4,4,4,4,1,1,4,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
