lfdn,external_lfdn,tester,dispcode,lastpage,quality,duration,VPN_Kennung,Pre_SSSQ_1,Pre_SSSQ_2,Pre_SSSQ_3,Pre_SSSQ_4,Pre_SSSQ_5,Pre_SSSQ_6,Pre_SSSQ_7,Pre_SSSQ_8,Pre_SSSQ_9,Pre_SSSQ_10,Pre_SSSQ_11,Pre_SSSQ_12,Pre_SSSQ_13,Pre_SSSQ_14,Pre_SSSQ_15,Pre_SSSQ_16,Pre_SSSQ_17,Pre_SSSQ_18,Pre_SSSQ_19,Pre_SSSQ_20,Pre_SSSQ_21,Pre_SSSQ_22,Pre_SSSQ_23,Pre_SSSQ_24,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,v_35,v_50,v_51,v_52,v_53,v_54,v_55,v_56,v_57,v_58,v_59,browser,referer,device_type,quota,quota_assignment,quota_rejected_id,page_history,hflip,vflip,output_mode,javascript,flash,session_id,language,cleaned,ats,datetime,date_of_last_access,date_of_first_mail,rts7541226,rts7541229,rts7560531
2,0,0,31,7541213,NaN,124,Xxxx,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,0,1,0,NaN,NaN,7c2694811fa179544f7696c6b9d23ecf,1,0,1731330222,11.11.24 13:03,11.11.24 13:05,0000-00-00 00:00:00,87,124,0
3,0,0,31,7541213,NaN,38,XX12X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:132.0) Gecko/20100101 Firefox/132.0,https://www.unipark.de/uc/LST_Gesundheitspsychologie/60ea/ospe.php?SES=ee64b7a49cb6647a7ae44ca67467cda6,0,0,NaN,0,-9223372036854775808,1,0,0,NaN,NaN,bce1d54db1244df199aa0230940f474f,1,0,1731403714,11.12.24 9:28,11.12.24 9:29,0000-00-00 00:00:00,12,38,0
8,0,0,31,7541213,NaN,657,SJ08F,1,3,1,1,2,1,2,1,2,1,1,2,4,2,2,3,2,3,3,2,2,3,1,1,3,1,4,2,1,1,2,1,1,1,2,3,1,1,4,2,4,2,1,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,0,1,0,NaN,NaN,fa6234477169f6af3cd71cf2bff5ff2c,1,0,1731940624,11.18.24 14:37,11.18.24 14:48,0000-00-00 00:00:00,480,578,657
10,0,0,32,7541213,NaN,-1,PL19E,1,4,1,1,4,1,1,1,1,1,5,5,5,4,4,3,3,3,3,3,4,4,1,1,5,1,4,1,3,1,1,1,3,1,1,4,1,3,3,4,5,1,4,1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,1,0,0,NaN,NaN,e3b79d21a97f7eca573b299ee0a0319a,1,0,1732805772,11.28.24 14:56,11.28.24 16:18,0000-00-00 00:00:00,18,4859,4932
11,0,0,31,7541213,NaN,2506,CL17M,1,3,1,1,4,2,1,1,2,1,3,4,4,1,3,3,4,2,2,3,2,3,2,1,4,2,3,1,2,1,2,1,3,2,3,4,2,2,3,3,3,3,3,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,0,0,0,NaN,NaN,962c7d5362fe526b8ff6c6c26793dc2b,1,0,1733223689,12.3.24 11:01,12.3.24 11:43,0000-00-00 00:00:00,2206,2425,2506
13,0,0,32,7541213,NaN,-1,GM25S,2,2,3,2,2,1,2,2,2,2,3,2,2,1,3,2,4,3,1,2,3,4,1,1,1,2,1,2,3,3,1,1,1,2,3,2,3,2,1,2,2,2,2,1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,1,0,0,NaN,NaN,fe6d559a61a9ebea9f186b93232b597c,1,0,1733844569,12.10.24 15:29,12.10.24 16:23,0000-00-00 00:00:00,641,3200,3267
17,0,0,31,7541213,NaN,2038,RK06N,3,4,1,1,3,2,2,1,2,1,4,4,4,3,3,2,4,1,4,5,3,3,1,1,5,2,1,1,2,1,2,1,2,1,3,4,2,1,3,2,5,4,3,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,1,0,0,NaN,NaN,f9c220c037ba50b2aa383630f20ce582,1,0,1734001833,12.12.24 11:10,12.12.24 11:44,0000-00-00 00:00:00,1892,1989,2038
18,0,0,31,7541213,NaN,1750,EK13M,1,4,1,1,4,1,1,1,1,1,4,4,4,1,3,1,4,1,2,1,4,4,1,2,4,1,3,1,4,1,1,1,4,3,1,4,1,2,1,3,4,1,4,1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,1,1,0,NaN,NaN,d526701887eefab0aed99692796b090a,1,0,1734007285,12.12.24 12:41,12.12.24 13:10,0000-00-00 00:00:00,166,1719,1750
19,0,0,31,7541213,NaN,2924,CH02N,1,1,1,1,4,1,1,1,1,1,4,4,3,2,1,1,3,3,3,3,3,3,3,2,4,2,3,1,3,1,2,1,2,1,1,4,1,1,3,3,3,3,3,1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",NaN,0,0,NaN,0,-9223372036854775808,1,0,0,NaN,NaN,ee25a7200e29f1c6be0b2259dcaa559f,1,0,1734352018,12.16.24 12:26,12.16.24 13:15,0000-00-00 00:00:00,852,2856,2924
,,,,,,,VP8,2,4,1,1,4,3,1,1,1,1,4,4,4,3,3,2,3,2,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
